user_id,show_watched,duration_watched(minutes),date_watched (TIMESTAMP),gender,age,subscription_type,device_used,rating_given,location,watching_method,Month Name
8270,House of Cards,35.15,01/01/2023 00:00,Female,30.0,Standard,Tablet,2.0,France,Binge-watched,Jan
1860,House of Cards,35.49,01/01/2023 00:01,Male,,Standard,Tablet,3.0,Germany,Watched weekly,Jan
6390,BoJack Horseman,14.12,01/01/2023 00:02,Male,15.0,Standard,TV,3.0,Germany,Binge-watched,Jan
6191,BoJack Horseman,48.57,01/01/2023 00:03,Female,20.0,Standard,,1.0,Australia,Watched daily,Jan
6734,The Umbrella Academy,34.08,01/01/2023 00:04,Male,31.0,Premium,Tablet,5.0,Australia,Watched weekly,Jan
7265,Black Mirror,3.13,01/01/2023 00:05,Male,20.0,Basic,Desktop,5.0,Germany,Watched weekly,Jan
1466,Stranger Things,,01/01/2023 00:06,Female,46.0,Standard,Desktop,4.0,US,Watched daily,Jan
5426,The Umbrella Academy,106.32,01/01/2023 00:07,Male,35.0,Basic,Mobile,4.0,Germany,Watched daily,Jan
6578,Ozark,,01/01/2023 00:08,Male,66.0,Basic,Mobile,3.0,Germany,Started but didn't finish,Jan
9322,The Umbrella Academy,19.54,01/01/2023 00:09,Male,35.0,Premium,TV,5.0,Canada,Watched daily,Jan
2685,The Crown,65.68,01/01/2023 00:10,Female,30.0,Basic,Desktop,5.0,Australia,Watched daily,Jan
1769,The Witcher,75.69,01/01/2023 00:11,Male,66.0,Basic,Mobile,2.0,Australia,Binge-watched,Jan
7949,Stranger Things,114.91,01/01/2023 00:12,Male,,Standard,Desktop,3.0,France,Binge-watched,Jan
3433,The Witcher,45.28,01/01/2023 00:13,Male,24.0,Premium,Mobile,2.0,Germany,Binge-watched,Jan
6311,The Crown,74.18,01/01/2023 00:14,Female,72.0,Standard,Tablet,2.0,France,Binge-watched,Jan
6051,The Witcher,105.38,01/01/2023 00:15,Female,44.0,Premium,Tablet,2.0,UK,Binge-watched,Jan
7420,Ozark,53.99,01/01/2023 00:16,Male,20.0,Basic,TV,5.0,Australia,Started but didn't finish,Jan
2184,The Crown,14.68,01/01/2023 00:17,Female,77.0,Standard,Desktop,2.0,Canada,Watched daily,Jan
5555,The Crown,45.29,01/01/2023 00:18,Male,59.0,Standard,Desktop,3.0,UK,Started but didn't finish,Jan
4385,Stranger Things,16.39,01/01/2023 00:19,Male,38.0,Premium,Desktop,4.0,Australia,Started but didn't finish,Jan
7396,House of Cards,2.0,01/01/2023 00:20,Female,73.0,Premium,Desktop,4.0,France,Watched weekly,Jan
9666,The Umbrella Academy,90.19,01/01/2023 00:21,Female,50.0,Standard,Tablet,1.0,France,Watched daily,Jan
3558,Money Heist,,01/01/2023 00:22,Male,35.0,Standard,Tablet,3.0,UK,Binge-watched,Jan
8849,Black Mirror,0.24,01/01/2023 00:23,Female,37.0,Standard,Desktop,2.0,Germany,Binge-watched,Jan
3047,The Witcher,104.69,01/01/2023 00:24,Male,57.0,Standard,TV,5.0,Canada,Watched weekly,Jan
3747,The Witcher,,01/01/2023 00:25,,75.0,Standard,Desktop,1.0,France,Watched weekly,Jan
1189,The Crown,28.66,01/01/2023 00:26,Female,32.0,Basic,Mobile,2.0,US,Watched daily,Jan
3734,Narcos,31.53,01/01/2023 00:27,,,Standard,Tablet,3.0,Canada,Watched daily,Jan
4005,House of Cards,28.86,01/01/2023 00:28,Male,78.0,Basic,Tablet,1.0,UK,Watched weekly,Jan
5658,The Umbrella Academy,,01/01/2023 00:29,Male,30.0,Premium,Desktop,3.0,France,Started but didn't finish,Jan
2899,BoJack Horseman,100.95,01/01/2023 00:30,Female,58.0,Premium,Mobile,4.0,France,Binge-watched,Jan
8734,Stranger Things,20.44,01/01/2023 00:31,Female,45.0,Standard,TV,2.0,Australia,Started but didn't finish,Jan
2267,Stranger Things,67.42,01/01/2023 00:32,Female,46.0,Basic,Tablet,4.0,UK,Watched daily,Jan
2528,Ozark,9.28,01/01/2023 00:33,Male,51.0,Basic,Mobile,3.0,US,Started but didn't finish,Jan
4556,The Umbrella Academy,113.94,01/01/2023 00:34,Female,71.0,Standard,Mobile,3.0,Australia,Started but didn't finish,Jan
4890,Money Heist,,01/01/2023 00:35,Female,15.0,Standard,Tablet,3.0,US,Watched daily,Jan
9838,Black Mirror,108.38,01/01/2023 00:36,Female,17.0,Basic,Tablet,2.0,France,Watched daily,Jan
6393,BoJack Horseman,47.75,01/01/2023 00:37,Male,78.0,Premium,Mobile,2.0,Germany,Started but didn't finish,Jan
9792,The Witcher,97.28,01/01/2023 00:38,Female,49.0,Standard,TV,4.0,US,Started but didn't finish,Jan
9433,The Crown,102.44,01/01/2023 00:39,Female,19.0,Basic,Mobile,5.0,US,Started but didn't finish,Jan
8513,The Witcher,,01/01/2023 00:40,Male,40.0,Basic,Tablet,2.0,Germany,Watched daily,Jan
3612,Narcos,11.15,01/01/2023 00:41,Female,39.0,Standard,Desktop,3.0,Australia,Watched daily,Jan
8041,Narcos,,01/01/2023 00:42,Male,60.0,Basic,TV,1.0,US,Binge-watched,Jan
7235,House of Cards,20.23,01/01/2023 00:43,Female,45.0,Standard,Mobile,1.0,Germany,Watched weekly,Jan
6486,Black Mirror,,01/01/2023 00:44,Female,70.0,Standard,Tablet,,UK,Watched weekly,Jan
8099,BoJack Horseman,87.02,01/01/2023 00:45,Male,36.0,Premium,,5.0,Australia,Watched weekly,Jan
1775,Narcos,66.84,01/01/2023 00:46,Female,44.0,Standard,TV,1.0,Canada,Watched daily,Jan
9226,The Crown,63.11,01/01/2023 00:47,Female,69.0,Standard,TV,5.0,Canada,Binge-watched,Jan
4152,Black Mirror,30.34,01/01/2023 00:48,Female,41.0,Premium,TV,2.0,UK,Watched daily,Jan
2585,Stranger Things,18.55,01/01/2023 00:49,Female,13.0,Standard,TV,5.0,US,Started but didn't finish,Jan
4943,House of Cards,24.79,01/01/2023 00:50,Male,36.0,Standard,TV,5.0,Canada,Watched daily,Jan
8555,The Umbrella Academy,48.03,01/01/2023 00:51,Female,56.0,Basic,Tablet,2.0,UK,Watched daily,Jan
4073,Stranger Things,88.82,01/01/2023 00:52,Male,15.0,Standard,Mobile,2.0,Canada,Started but didn't finish,Jan
2021,The Crown,30.54,01/01/2023 00:53,Male,35.0,Standard,Mobile,5.0,US,Watched daily,Jan
4843,House of Cards,83.83,01/01/2023 00:54,Male,33.0,Standard,Desktop,3.0,Australia,Watched weekly,Jan
8989,House of Cards,58.98,01/01/2023 00:55,Female,53.0,Basic,TV,3.0,Germany,Watched weekly,Jan
7873,The Umbrella Academy,106.25,01/01/2023 00:56,Female,23.0,Standard,,3.0,UK,Started but didn't finish,Jan
6675,Narcos,27.95,01/01/2023 00:57,Female,22.0,Premium,TV,4.0,Australia,Watched weekly,Jan
1161,Narcos,,01/01/2023 00:58,Female,35.0,Premium,Mobile,2.0,Canada,Binge-watched,Jan
5297,The Umbrella Academy,11.6,01/01/2023 00:59,Female,52.0,Basic,,3.0,US,Binge-watched,Jan
1995,The Umbrella Academy,,01/01/2023 01:00,Female,52.0,Standard,Tablet,5.0,Australia,Watched daily,Jan
8629,The Crown,,01/01/2023 01:01,Male,75.0,Basic,Tablet,5.0,Canada,Watched daily,Jan
2016,Stranger Things,87.93,01/01/2023 01:02,Female,37.0,Basic,Tablet,3.0,US,Watched weekly,Jan
8869,Ozark,23.77,01/01/2023 01:03,Male,10.0,Standard,TV,2.0,US,Started but didn't finish,Jan
7439,Money Heist,26.17,01/01/2023 01:04,Female,21.0,Standard,TV,5.0,US,Started but didn't finish,Jan
8892,Ozark,75.79,01/01/2023 01:05,Male,59.0,Basic,Tablet,2.0,US,Watched daily,Jan
7863,The Crown,45.89,01/01/2023 01:06,Male,62.0,Basic,Mobile,4.0,UK,Watched weekly,Jan
8916,The Witcher,57.85,01/01/2023 01:07,Male,69.0,Premium,TV,4.0,Australia,Binge-watched,Jan
9529,The Crown,100.34,01/01/2023 01:08,Male,64.0,Standard,TV,3.0,Germany,Started but didn't finish,Jan
1878,Stranger Things,59.89,01/01/2023 01:09,Male,44.0,Standard,Desktop,5.0,UK,Started but didn't finish,Jan
5887,House of Cards,78.3,01/01/2023 01:10,Male,70.0,Standard,Mobile,3.0,Canada,Watched weekly,Jan
5859,Black Mirror,78.81,01/01/2023 01:11,Male,35.0,Standard,Mobile,1.0,UK,Binge-watched,Jan
7331,Black Mirror,96.43,01/01/2023 01:12,Male,40.0,Premium,Desktop,,UK,Started but didn't finish,Jan
9571,Money Heist,76.58,01/01/2023 01:13,Male,66.0,Standard,Desktop,3.0,Canada,Watched daily,Jan
9684,Stranger Things,,01/01/2023 01:14,Male,21.0,Standard,Desktop,3.0,Germany,Watched weekly,Jan
8208,The Umbrella Academy,41.06,01/01/2023 01:15,Female,14.0,Standard,Desktop,1.0,UK,Binge-watched,Jan
6276,The Crown,118.72,01/01/2023 01:16,Female,16.0,Basic,Desktop,4.0,US,Watched daily,Jan
3062,Ozark,23.58,01/01/2023 01:17,Female,25.0,Standard,Desktop,4.0,UK,Binge-watched,Jan
1064,House of Cards,70.41,01/01/2023 01:18,Female,,Premium,TV,2.0,Canada,Binge-watched,Jan
9006,Black Mirror,101.15,01/01/2023 01:19,Female,30.0,Standard,TV,2.0,Germany,Binge-watched,Jan
3568,Black Mirror,70.39,01/01/2023 01:20,Female,36.0,Standard,TV,1.0,UK,Watched daily,Jan
6463,Stranger Things,44.67,01/01/2023 01:21,Male,32.0,Standard,Tablet,5.0,UK,Watched daily,Jan
3027,Money Heist,9.63,01/01/2023 01:22,Female,34.0,Standard,Desktop,2.0,Canada,Binge-watched,Jan
3695,The Umbrella Academy,43.4,01/01/2023 01:23,Male,20.0,Premium,Desktop,5.0,France,Started but didn't finish,Jan
6258,The Umbrella Academy,21.85,01/01/2023 01:24,Female,72.0,Basic,Desktop,3.0,France,Watched weekly,Jan
6618,The Crown,115.3,01/01/2023 01:25,Female,66.0,Premium,Desktop,3.0,Australia,Watched daily,Jan
7736,The Crown,85.8,01/01/2023 01:26,Female,63.0,Standard,TV,1.0,UK,Watched daily,Jan
1391,House of Cards,89.93,01/01/2023 01:27,Male,19.0,Basic,Desktop,1.0,Australia,Binge-watched,Jan
6892,Stranger Things,52.32,01/01/2023 01:28,Female,59.0,Standard,Tablet,2.0,US,Watched daily,Jan
4561,House of Cards,13.2,01/01/2023 01:29,,10.0,Standard,,2.0,UK,Binge-watched,Jan
7184,BoJack Horseman,32.01,01/01/2023 01:30,Female,79.0,Basic,TV,2.0,Australia,Watched daily,Jan
4099,Narcos,,01/01/2023 01:31,Female,39.0,Standard,TV,2.0,France,Binge-watched,Jan
7278,The Umbrella Academy,58.41,01/01/2023 01:32,Male,64.0,Basic,Tablet,4.0,UK,Watched daily,Jan
9392,Stranger Things,55.32,01/01/2023 01:33,Male,15.0,Standard,TV,2.0,US,Binge-watched,Jan
4104,Black Mirror,,01/01/2023 01:34,Male,33.0,Standard,Tablet,4.0,Germany,Binge-watched,Jan
8215,Ozark,59.52,01/01/2023 01:35,Female,14.0,Standard,Mobile,2.0,UK,Watched weekly,Jan
3454,Black Mirror,118.44,01/01/2023 01:36,Male,16.0,Premium,Desktop,2.0,Canada,Started but didn't finish,Jan
9996,The Crown,35.8,01/01/2023 01:37,Male,12.0,Premium,Tablet,4.0,US,Watched weekly,Jan
3731,The Crown,73.83,01/01/2023 01:38,Male,22.0,Premium,Desktop,4.0,UK,Watched weekly,Jan
9154,Black Mirror,28.74,01/01/2023 01:39,Male,63.0,Standard,Desktop,1.0,France,Watched weekly,Jan
6056,Narcos,55.99,01/01/2023 01:40,Male,72.0,Standard,TV,,Australia,Watched daily,Jan
9110,Stranger Things,24.01,01/01/2023 01:41,Male,15.0,Standard,TV,4.0,UK,Started but didn't finish,Jan
4840,Stranger Things,66.98,01/01/2023 01:42,Female,56.0,Premium,Tablet,3.0,Australia,Binge-watched,Jan
2028,Ozark,31.8,01/01/2023 01:43,Male,64.0,Basic,Tablet,3.0,France,Binge-watched,Jan
8385,Money Heist,4.41,01/01/2023 01:44,Male,58.0,Standard,TV,1.0,Canada,Binge-watched,Jan
1502,Black Mirror,97.83,01/01/2023 01:45,Female,66.0,Premium,Desktop,3.0,Germany,Watched weekly,Jan
7910,Black Mirror,15.39,01/01/2023 01:46,,12.0,Premium,TV,3.0,France,Watched daily,Jan
7938,The Crown,44.16,01/01/2023 01:47,Male,31.0,Basic,Desktop,1.0,UK,Started but didn't finish,Jan
5488,Narcos,57.26,01/01/2023 01:48,Male,44.0,Basic,Mobile,4.0,Canada,Started but didn't finish,Jan
1206,Black Mirror,,01/01/2023 01:49,Female,37.0,Basic,Tablet,3.0,US,Started but didn't finish,Jan
6134,The Witcher,87.08,01/01/2023 01:50,Female,51.0,Premium,TV,5.0,UK,Watched daily,Jan
6977,Ozark,71.61,01/01/2023 01:51,Female,21.0,Basic,Desktop,2.0,Australia,Watched daily,Jan
8721,The Crown,35.44,01/01/2023 01:52,Male,10.0,Premium,Mobile,3.0,Australia,Watched weekly,Jan
8035,Black Mirror,6.2,01/01/2023 01:53,Male,32.0,,Desktop,2.0,Australia,Started but didn't finish,Jan
2484,Stranger Things,92.11,01/01/2023 01:54,Female,37.0,Premium,Tablet,5.0,US,Binge-watched,Jan
8858,Narcos,42.3,01/01/2023 01:55,Female,78.0,Premium,,3.0,Australia,Watched daily,Jan
1863,House of Cards,106.77,01/01/2023 01:56,Male,45.0,Premium,Desktop,2.0,Australia,Started but didn't finish,Jan
3790,Money Heist,47.41,01/01/2023 01:57,Male,,Basic,Tablet,3.0,France,Started but didn't finish,Jan
8408,House of Cards,86.12,01/01/2023 01:58,Female,56.0,Basic,TV,5.0,Australia,Watched weekly,Jan
9755,House of Cards,112.75,01/01/2023 01:59,Male,65.0,Premium,Mobile,3.0,Canada,Binge-watched,Jan
6116,Black Mirror,78.14,01/01/2023 02:00,Female,19.0,Basic,Desktop,1.0,Germany,Binge-watched,Jan
7019,The Witcher,49.62,01/01/2023 02:01,Male,14.0,Basic,TV,1.0,UK,Started but didn't finish,Jan
2757,Ozark,68.09,01/01/2023 02:02,Male,23.0,Basic,TV,2.0,Canada,Watched daily,Jan
8574,Money Heist,65.21,01/01/2023 02:03,Male,33.0,Standard,TV,4.0,Canada,Watched daily,Jan
7374,The Umbrella Academy,70.18,01/01/2023 02:04,Female,,Standard,Tablet,2.0,Germany,Binge-watched,Jan
7892,House of Cards,17.62,01/01/2023 02:05,Male,37.0,Basic,Mobile,5.0,Australia,Watched daily,Jan
2678,The Witcher,83.82,01/01/2023 02:06,Female,30.0,Standard,Mobile,4.0,France,Started but didn't finish,Jan
4242,Narcos,17.41,01/01/2023 02:07,Male,,Standard,Tablet,3.0,Australia,Binge-watched,Jan
5636,Stranger Things,1.75,01/01/2023 02:08,Other,71.0,Premium,Desktop,3.0,Australia,Watched weekly,Jan
2059,The Witcher,74.97,01/01/2023 02:09,,60.0,Basic,Tablet,3.0,Germany,Watched daily,Jan
7668,Stranger Things,14.03,01/01/2023 02:10,Female,49.0,Basic,Mobile,3.0,Germany,Watched daily,Jan
4157,House of Cards,92.45,01/01/2023 02:11,,74.0,Standard,Tablet,4.0,Germany,Watched daily,Jan
6915,Money Heist,103.92,01/01/2023 02:12,Male,37.0,,Mobile,2.0,Australia,Started but didn't finish,Jan
3693,House of Cards,113.37,01/01/2023 02:13,,63.0,Standard,Mobile,2.0,US,Watched daily,Jan
4627,Stranger Things,,01/01/2023 02:14,Male,11.0,Basic,Mobile,1.0,Australia,Watched weekly,Jan
6450,Stranger Things,57.84,01/01/2023 02:15,Male,23.0,Basic,Mobile,3.0,UK,Watched daily,Jan
2663,Narcos,42.27,01/01/2023 02:16,Male,23.0,Standard,Desktop,1.0,Germany,Watched weekly,Jan
6592,The Umbrella Academy,58.91,01/01/2023 02:17,Female,53.0,Standard,Mobile,1.0,UK,Watched daily,Jan
8392,The Crown,22.84,01/01/2023 02:18,Female,49.0,Premium,TV,4.0,Australia,Binge-watched,Jan
2306,Stranger Things,,01/01/2023 02:19,Female,43.0,Standard,TV,2.0,Australia,Started but didn't finish,Jan
7776,The Umbrella Academy,86.15,01/01/2023 02:20,,74.0,Standard,Mobile,1.0,Germany,Started but didn't finish,Jan
6864,Narcos,26.09,01/01/2023 02:21,Female,27.0,Standard,Mobile,1.0,France,Started but didn't finish,Jan
8526,BoJack Horseman,31.69,01/01/2023 02:22,Female,43.0,Standard,,2.0,France,Binge-watched,Jan
9901,Money Heist,89.92,01/01/2023 02:23,Male,58.0,Standard,Desktop,4.0,Germany,Watched weekly,Jan
6575,Money Heist,21.34,01/01/2023 02:24,Female,64.0,Basic,Mobile,1.0,Canada,Started but didn't finish,Jan
6530,The Umbrella Academy,29.51,01/01/2023 02:25,Other,71.0,Premium,Tablet,4.0,UK,Watched weekly,Jan
5413,The Umbrella Academy,2.11,01/01/2023 02:26,Other,79.0,Standard,Mobile,3.0,France,Watched daily,Jan
4748,The Witcher,86.41,01/01/2023 02:27,Male,33.0,Premium,Desktop,3.0,US,Watched daily,Jan
1663,Black Mirror,74.15,01/01/2023 02:28,Male,57.0,Basic,Desktop,5.0,Canada,Watched weekly,Jan
2998,Black Mirror,83.33,01/01/2023 02:29,Male,48.0,Standard,TV,5.0,France,Binge-watched,Jan
8994,The Witcher,25.72,01/01/2023 02:30,Male,57.0,Basic,Desktop,3.0,Canada,Watched weekly,Jan
2495,The Umbrella Academy,82.49,01/01/2023 02:31,Male,79.0,Basic,TV,1.0,Australia,Watched daily,Jan
4304,House of Cards,71.57,01/01/2023 02:32,Female,18.0,Premium,Desktop,4.0,UK,Binge-watched,Jan
4763,The Witcher,43.93,01/01/2023 02:33,Female,38.0,Standard,Tablet,1.0,Australia,Started but didn't finish,Jan
6232,The Crown,52.54,01/01/2023 02:34,Female,77.0,Standard,Desktop,2.0,Australia,Watched daily,Jan
2853,BoJack Horseman,68.15,01/01/2023 02:35,Male,69.0,Premium,Tablet,3.0,Canada,Started but didn't finish,Jan
7585,House of Cards,59.2,01/01/2023 02:36,Male,35.0,Standard,,1.0,US,Watched weekly,Jan
2291,Black Mirror,77.02,01/01/2023 02:37,Male,47.0,Standard,Tablet,4.0,Canada,Binge-watched,Jan
4581,Black Mirror,21.72,01/01/2023 02:38,Male,71.0,Basic,TV,3.0,Australia,Binge-watched,Jan
8554,The Crown,64.89,01/01/2023 02:39,Male,35.0,Basic,Desktop,3.0,France,Binge-watched,Jan
8280,Narcos,54.03,01/01/2023 02:40,Male,23.0,Standard,Tablet,4.0,US,Watched daily,Jan
2636,BoJack Horseman,55.32,01/01/2023 02:41,Female,58.0,Premium,Tablet,3.0,Australia,Watched weekly,Jan
4696,The Crown,56.33,01/01/2023 02:42,Male,52.0,Standard,TV,2.0,UK,Binge-watched,Jan
1698,House of Cards,105.78,01/01/2023 02:43,Female,17.0,Basic,Desktop,2.0,France,Watched daily,Jan
5737,The Umbrella Academy,,01/01/2023 02:44,Female,49.0,Standard,Mobile,4.0,UK,Watched weekly,Jan
1854,The Umbrella Academy,75.55,01/01/2023 02:45,Female,34.0,Basic,Mobile,4.0,Australia,Watched weekly,Jan
9164,The Umbrella Academy,85.98,01/01/2023 02:46,Female,72.0,Premium,Tablet,2.0,Germany,Started but didn't finish,Jan
6855,Stranger Things,5.14,01/01/2023 02:47,Female,13.0,Standard,TV,3.0,France,Binge-watched,Jan
8392,Money Heist,89.28,01/01/2023 02:48,Female,24.0,,TV,,Canada,Started but didn't finish,Jan
7528,House of Cards,58.34,01/01/2023 02:49,Female,25.0,Basic,TV,,UK,Started but didn't finish,Jan
6249,House of Cards,38.13,01/01/2023 02:50,Male,63.0,Basic,Desktop,3.0,Canada,Binge-watched,Jan
6172,The Crown,16.77,01/01/2023 02:51,Male,20.0,Standard,Desktop,4.0,Australia,Watched weekly,Jan
2707,BoJack Horseman,9.03,01/01/2023 02:52,Female,37.0,Premium,Desktop,4.0,US,Started but didn't finish,Jan
6791,Narcos,5.39,01/01/2023 02:53,Male,16.0,Standard,Mobile,3.0,UK,Started but didn't finish,Jan
6535,Black Mirror,19.42,01/01/2023 02:54,Female,,Premium,Tablet,1.0,UK,Watched daily,Jan
5931,Stranger Things,3.62,01/01/2023 02:55,Female,33.0,Basic,Desktop,4.0,US,Watched weekly,Jan
4510,Ozark,87.92,01/01/2023 02:56,Male,77.0,Standard,Tablet,2.0,US,Watched daily,Jan
